X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Description,Min_Scale_Echelle,Max_Scale_Echelle,CONCISCODE
-115.146944421,50.9203826,1,Kananaskis Village,Kananaskis Village,,,100000,5000,Town//Ville
-115.246042042,50.954110305,2,Wind Mountain,Wind Mont,,,100000,5000,Mountain//Mont
-115.262540614,50.9652839170001,3,Mount Lougheed,Mount Lougheed,,,100000,5000,Mountain//Mont
-115.133774675,50.98634724,4,Mount Lorette,Mount Lorette,,,100000,5000,Mountain//Mont
-115.459126143,50.9319443410001,5,Mount Turbulent,Mount Turbulent,,,100000,5000,Mountain//Mont
-114.766346523,50.350265016,6,Mount Armstrong,Mount Armstrong,,,100000,5000,Mountain//Mont
-114.79923745,50.330285577,7,Mount Bolton,Mount Bolton,,,100000,5000,Mountain//Mont
-114.7288636,50.4960175570001,8,Park Ranges,Park Ranges,,,100000,5000,Mountain//Mont
-114.631168916,49.5491074110001,9,Mount Ptolemy,Mount Ptolemy,,,100000,5000,Mountain//Mont
-114.581913517,49.72172727,10,Seven Sisters Mountain,Seven Sisters Mont,,,100000,5000,Mountain//Mont
-114.573843501,49.7038099320001,11,Crowsnest Mountain,Crowsnest Mont,,,100000,5000,Mountain//Mont
-114.515682934,49.7225918830001,12,McGillivray Ridge,McGillivray Ridge,,,100000,5000,Mountain//Mont
-116.354318844,52.386958989,13,Crescent Falls,Crescent Falls,,,100000,5000,Falls//Chute
-117.007468331,52.3159178500001,14,Le Grand Brazeau,Le Grand Brazeau,,,100000,5000,Mountain//Mont
-116.973815555,52.2403587700001,15,Cline Pass,Cline Pass,,,100000,5000,Valley//Vallée
-116.55238295,52.224795063,16,Mount Stelfox,Mount Stelfox,,,100000,5000,Mountain//Mont
-116.660437093,52.07354388,17,Lion Peak,Lion Peak,,,100000,5000,Mountain//Mont
-115.24200069,51.8698045090001,18,Sawtooth Ridge,Sawtooth Ridge,,,100000,5000,Mountain//Mont
-115.099024751,51.755580148,19,Island Muskeg,Island Muskeg,,,100000,5000,Mountain//Mont
-115.094026918,51.7586464730001,20,McMurtry Ridge,McMurtry Ridge,,,100000,5000,Mountain//Mont
-115.921694988,51.7937376360001,21,Condor Peak,Condor Peak,,,100000,5000,Mountain//Mont
-115.931228847,51.751123373,22,Divide Pass,Divide Pass,,,100000,5000,Valley//Vallée
-115.013708552,51.7483325520001,23,Parker Ridge,Parker Ridge,,,100000,5000,Mountain//Mont
-114.722563828,51.6362026800001,24,Bear Valley,Bear Valley,,,100000,5000,Mountain//Mont
-114.735729507,51.5581359130001,25,Charlton Muskeg,Charlton Muskeg,,,100000,5000,Mountain//Mont
-116.154505347,51.2634656280001,26,Chimney Peak,Chimney Peak,,,100000,5000,Mountain//Mont
-114.689559243,50.8149344330001,27,Mount Quirk,Mount Quirk,,,100000,5000,Mountain//Mont
