id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,70,3,258,2022-09-09,1.85,2,104,31,
178860,Georgian House in Heart of City Ctr,856312,Danielle,,Dublin City,53.33281,-6.2675,Private room,80,2,313,2021-08-19,2.57,2,0,0,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,67,3,210,2022-09-11,1.53,2,110,28,
159889,Friendly Single Room,766611,Margaret,,Dublin City,53.39027,-6.23547,Private room,45,2,355,2022-09-01,2.78,3,290,44,
181823,Comfy room 5k from Croke Park - near beach/town.,608225,Norah,,Dublin City,53.3374,-6.22061,Private room,139,1,50,2019-05-16,0.37,2,2,0,
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,80,1,326,2022-08-31,3.68,2,74,41,
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,,Dublin City,53.33744,-6.32363,Entire home/apt,251,3,64,2022-06-28,0.48,5,31,17,
165829,"The ""Michael Collins"" apartment",790601,Grainne,,Dublin City,53.33744,-6.32363,Entire home/apt,244,3,76,2022-08-15,0.59,5,14,20,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,68,1,392,2022-09-08,3.00,3,135,90,
2164444,Historic Oasis - Heart Of Dublin,11013512,Ben,,Dublin City,53.32889,-6.25116,Private room,80,2,477,2022-08-28,4.57,2,1,72,
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34636,-6.41734,Private room,30,30,43,2022-07-01,0.35,1,47,3,
